libtxc_dxtn 1.0.1-6
libunistring 0.9.6-2
libunwind 1.1-3
libusb 1.0.21-1
libutempter 1.1.6-2
libutil-linux 2.28.2-2
libva 1.7.3-1
libvdpau 1.1.1-2
libvorbis 1.3.5-1
libvpx 1.6.0-2
libwbclient 4.5.2-1
libwebp 0.5.1-1
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.8-1
libxinerama 1.1.3-2
libxkbcommon 0.7.0-1
libxkbfile 1.0.9-1
libxml2 2.9.4+12+ge905f08-2
libxmu 1.1.2-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86vm 1.1.4-1
licenses 20140629-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
linux-grsec 1:4.8.12.r201612062306-2
linux-grsec-docs 1:4.8.12.r201612062306-2
linux-grsec-headers 1:4.8.12.r201612062306-2
llvm-libs 3.9.0-3
logrotate 3.10.0-1
lua52 5.2.4-2
lvm2 2.02.168-1
lz4 1:1.7.4.2-1
lzo 2.09-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.08-1
mdadm 3.4-1
mesa 13.0.2-2
mesa-libgl 13.0.2-2
mime-types 9-1
mkinitcpio 22-1
mkinitcpio-busybox 1.24.2-1
mksh 54-1
mozilla-common 1.4-4
mpfr 3.1.5-1
mpv 1:0.22.0-2
mtdev 1.1.5-1
ncurses 6.0+20161112-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
nmap 7.31-1
noto-fonts 20161003-1
npth 1.3-1
nspr 4.13.1-1
nss 3.27.2-1
opencore-amr 0.1.3-2
openjpeg2 2.1.2-1
openresolv 3.8.1-1
openssl 1.0.2.j-1
opus 1.1.3-2
orc 0.4.26-1
p11-kit 0.23.2-1
package-query 1.8-2
pacman 5.0.1-4
pacman-mirrorlist 20161208-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-1
patch 2.7.5-1
pciutils 3.5.2-1
pcmciautils 018-7
pcre 8.39-2
perl 5.24.0-2
perl-error 0.17024-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.1-2
popt 1.16-8
procps-ng 3.3.12-1
psmisc 22.21-3
python2 2.7.12-2
randrproto 1.5.0-1
readline 7.0-1
recode 3.6-9
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rsync 3.1.2-2
rubberband 1.8.1-3
s-nail 14.8.14-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl2 2.0.5-2
sed 4.2.2-4
shadow 4.4-3
shared-mime-info 1.7-1
smbclient 4.5.2-1
speex 1.2rc2-1
speexdsp 1.2rc3-2
sqlite 3.15.2-1
startup-notification 0.12-4
